ID,total,slight,serious,neigh,Road_name,Road_name2,h,Day_of_Week,m,Speed_limit,Junction_Detail,Junction_Control,Pedestrian_Crossing-Physical_Facilities,bikelane,aadf_Road_name,aadf_Road_category,aadf_Road_type,aadf_CLT_CARR,aadf_CLT_SEGREG,aadf_CLT_STEPP,aadf_CLT_PARSEG,aadf_CLT_SHARED,aadf_CLT_MANDAT,aadf_CLT_ADVIS,aadf_CLT_PRIORI,aadf_CLT_CONTRA,aadf_CLT_BIDIRE,aadf_CLT_CBYPAS,aadf_CLT_BBYPAS,aadf_CLT_PARKR,aadf_CLT_WATERR,aadf_CLT_PTIME,distance_to_cp,aadf_Pedal_cycles,aadf_All_motor_vehicles,aadf_All_HGVs,aadf_LGVs,aadf_Buses_and_coaches,total_norm,serious_ratio,N_year,Year_start,Year_end,Max_year_gap
32,6774,104,95,9,0,A217,U,8,4,7,30,3,4,0,True,A217,PA,Major,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0.44226442928569776,837.6634615384615,24127.240384615383,542.5096153846154,3145.278846153846,996.5480769230769,0.12415487218338556,0.08653846153846154,22,2000,2021,1
33,17639,102,93,9,6,A4202,A4202,18,5,5,30,3,4,0,True,A4202,PA,Major,1,0,0,1,1,1,0,0,0,1,0,0,0,0,1,0.21813496809217217,840.0392156862745,92955.74509803922,2593.607843137255,11954.460784313726,5310.529411764706,0.12142290275897484,0.08823529411764706,22,2000,2021,1
34,73444,99,84,15,0,A4020,U,8,3,7,30,3,4,0,True,A4020,PA,Major,1,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0.3178256433132436,2530.010101010101,17056.58585858586,452.4949494949495,2551.050505050505,1109.2929292929293,0.039130278555202,0.15151515151515152,22,2000,2021,1
35,36795,99,89,10,0,A202,U,9,3,5,30,3,4,0,True,A202,PA,Major,1,0,0,0,1,1,1,1,0,1,0,0,0,0,1,0.1266019502694853,1628.3636363636363,28178.040404040403,1001.1212121212121,3677.6969696969695,2005.141414141414,0.06079723090665476,0.10101010101010101,22,2000,2021,1
36,17585,97,86,11,0,A4020,U,19,3,10,30,3,4,0,True,A4020,PA,Major,1,0,0,0,1,0,1,1,0,1,0,0,1,0,0,0.3022419177832993,1212.2371134020618,17416.154639175256,511.4639175257732,2139.3917525773195,863.8865979381443,0.08001734885659129,0.1134020618556701,22,2000,2021,1
37,18471,97,86,11,4,A200,U,9,3,5,30,3,4,0,True,A200,PA,Major,1,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0.1810485070126554,2308.134020618557,25506.0412371134,1037.7319587628865,4030.2886597938145,708.8247422680413,0.04202528931747428,0.1134020618556701,22,2000,2021,1
38,6751,97,77,20,8,A201,C,9,5,1,30,3,2,5,True,A201,PA,Major,1,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0.05475027092096885,7442.1752577319585,41834.30927835051,1479.4123711340205,6421.278350515464,1263.4432989690722,0.0130338236658997,0.20618556701030927,22,2000,2021,1
39,26182,97,90,7,14,A10,U,19,5,10,30,3,4,0,True,A10,PA,Major,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0.09419225021126329,3106.721649484536,14300.484536082475,520.0412371134021,2912.938144329897,1498.2164948453608,0.031222623377312908,0.07216494845360824,22,2000,2021,1
40,6266,96,86,10,0,A23,U,18,3,10,30,3,4,0,True,A23,PA,Major,1,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0.23841724764018854,2035.3333333333333,18420.125,639.0833333333334,2594.46875,1783.6979166666667,0.04716672125777924,0.10416666666666667,22,2000,2021,1
41,17572,96,74,22,1,A3212,U,8,2,6,30,3,4,0,True,A3212,PA,Major,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0.18411554608855862,4861.552083333333,33534.5,1469.3854166666667,5881.625,390.7395833333333,0.019746780113518277,0.22916666666666666,22,2000,2021,1
42,73798,94,80,14,0,A24,U,8,3,1,30,3,4,0,True,A24,PA,Major,1,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0.1459997396278557,846.2765957446809,18988.90425531915,964.0531914893617,2999.404255319149,637.531914893617,0.1110747957259585,0.14893617021276595,22,2000,2021,1
43,17007,93,88,5,0,A400,U,9,2,10,30,3,4,0,True,A400,PA,Major,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.09458568906898246,2679.3118279569894,19454.548387096773,706.7096774193549,3054.3870967741937,1097.1075268817203,0.034710405496516515,0.053763440860215055,22,2000,2021,1
44,47088,92,79,13,0,A404,U,17,4,6,30,3,4,0,False,A404,PA,Major,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,0.4164465143357728,660.0978260869565,17296.41304347826,751.5,2601.8804347826085,911.7282608695652,0.1393732812988852,0.14130434782608695,22,2000,2021,1
45,46435,89,74,15,0,A402,U,17,4,4,30,3,4,0,True,A402,PA,Major,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.26505028699197947,2225.2921348314608,28307.752808988764,888.7415730337078,4051.438202247191,1450.7640449438202,0.039994748827322256,0.16853932584269662,22,2000,2021,1
46,38590,88,79,9,0,A315,U,18,2,7,30,3,4,0,False,A315,PA,Major,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,0.15552879896409627,4923.0,35585.181818181816,783.6931818181819,4128.943181818182,2135.3977272727275,0.017875279301239083,0.10227272727272728,22,2000,2021,1
47,56655,87,81,6,0,A104,U,18,5,1,30,3,4,0,True,A104,PA,Major,1,0,0,0,1,0,1,1,0,0,0,1,0,0,1,0.15442057886081462,1213.287356321839,18158.908045977012,567.816091954023,1882.655172413793,842.448275862069,0.07170601386941529,0.06896551724137931,22,2000,2021,1
48,26270,86,76,10,0,A23,U,18,4,5,30,3,4,0,True,A23,PA,Major,1,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0.4757345865594891,957.4302325581396,30932.093023255813,1097.7906976744187,4213.3488372093025,2762.8255813953488,0.08982377731087333,0.11627906976744186,22,2000,2021,1
49,26889,86,72,14,7,A301,A3200,9,6,7,30,1,4,0,True,A301,PA,Major,1,1,0,1,1,1,0,0,0,1,0,1,0,0,1,0.08228333631706476,3677.4418604651164,19861.511627906977,554.3604651162791,2547.4418604651164,3232.3837209302324,0.023385821792196292,0.16279069767441862,22,2000,2021,1
50,38364,86,77,9,0,A2043,U,18,5,7,30,3,4,0,True,A2043,PA,Major,1,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0.5357596299618316,460.27906976744185,22005.6511627907,547.2558139534884,2508.360465116279,423.6162790697674,0.18684316895715442,0.10465116279069768,22,2000,2021,1
51,7044,85,78,7,13,A400,U,19,4,6,30,3,4,0,True,A400,PA,Major,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0.17755653857810036,1931.6470588235295,33076.529411764706,1146.5529411764705,4955.823529411765,1768.0588235294117,0.04400389792313782,0.08235294117647059,22,2000,2021,1
52,16744,84,66,18,0,A205,U,8,3,10,30,3,4,0,False,A205,PA,Major,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,0.37755890368099193,732.3214285714286,23039.678571428572,1059.1309523809523,3356.0714285714284,596.297619047619,0.1147037307973665,0.21428571428571427,22,2000,2021,1
53,26775,83,72,11,8,A201,C,19,5,4,30,3,4,0,True,A201,PA,Major,1,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0.09409742225796745,3416.397590361446,30242.819277108432,1006.4096385542168,6028.277108433735,991.7469879518072,0.024294596224445533,0.13253012048192772,22,2000,2021,1
54,36077,83,73,10,0,A1,U,9,3,11,30,3,4,0,True,A1,PA,Major,1,1,1,1,1,0,0,0,0,1,0,0,1,0,1,0.12674741059861577,1395.8192771084337,31038.433734939757,1300.4698795180723,4738.036144578313,1252.2289156626507,0.059463285370253686,0.12048192771084337,22,2000,2021,1
55,27666,83,74,9,0,A3216,U,18,4,9,30,1,4,0,True,A3216,PA,Major,1,0,0,1,1,0,1,1,0,1,0,0,1,1,1,0.263421854698433,2945.879518072289,28183.421686746988,1533.2289156626507,5424.481927710844,1340.433734939759,0.02817494724099007,0.10843373493975904,18,2000,2017,1
56,73797,82,78,4,0,A217,U,18,2,5,30,3,4,0,True,A217,PA,Major,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0.1852389332748215,654.6829268292682,17237.073170731706,607.6585365853658,2183.8658536585367,881.0243902439024,0.12525147157439834,0.04878048780487805,22,2000,2021,1
