ID,total,slight,serious,neigh,Road_name,Road_name2,h,Day_of_Week,m,Speed_limit,Junction_Detail,Junction_Control,Pedestrian_Crossing-Physical_Facilities,bikelane,aadf_Road_name,aadf_Road_category,aadf_Road_type,aadf_CLT_CARR,aadf_CLT_SEGREG,aadf_CLT_STEPP,aadf_CLT_PARSEG,aadf_CLT_SHARED,aadf_CLT_MANDAT,aadf_CLT_ADVIS,aadf_CLT_PRIORI,aadf_CLT_CONTRA,aadf_CLT_BIDIRE,aadf_CLT_CBYPAS,aadf_CLT_BBYPAS,aadf_CLT_PARKR,aadf_CLT_WATERR,aadf_CLT_PTIME,aadf_Link_length_miles,distance_to_cp,aadf_Pedal_cycles,aadf_All_motor_vehicles,aadf_All_HGVs,aadf_LGVs,aadf_Buses_and_coaches,total_dnorm,total_dnorm_bvnorm,serious_ratio,N_year,Year_start,Year_end,Max_year_gap
24,16101,122,109,13,1,A3,U,8,4,9,30,3,4,0,True,A3,PA,Major,True,False,False,False,True,False,True,True,False,False,False,False,False,False,True,0.81,0.21458060374825946,4482.229508196721,20289.82786885246,699.344262295082,3498.1967213114754,606.8934426229508,75.48250934168804,3.923811720138588,0.10655737704918032,22,2000,2021,1
25,26902,120,106,14,0,A308,U,8,4,5,30,3,4,0,True,A308,PA,Major,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,0.37,0.16262259170178514,3706.508333333333,29351.858333333334,1020.8583333333333,4502.425,719.8416666666667,97.96644069455193,6.158405331656865,0.11666666666666667,22,2000,2021,1
26,17498,117,98,19,15,A1208,U,18,4,5,30,3,4,0,True,A1208,PA,Major,True,False,False,True,False,False,False,False,True,True,False,False,True,False,False,0.68,0.19861672663197602,2154.1452991452993,18828.521367521367,905.6239316239316,3754.2820512820513,1022.5555555555555,78.20724788295765,8.459173466134896,0.1623931623931624,22,2000,2021,1
27,37103,117,105,12,0,A402,U,18,6,2,30,1,4,0,True,A402,PA,Major,True,False,False,False,True,False,True,True,False,False,False,False,False,False,True,1.3,0.3952500426955273,1499.1965811965813,24344.05982905983,481.4188034188034,3186.3931623931626,771.0769230769231,39.29985046294939,6.107848211979426,0.10256410256410256,22,2000,2021,1
28,27663,109,96,13,7,A3212,U,18,3,5,30,3,2,5,True,A3212,PA,Major,True,False,False,False,True,False,True,True,False,False,False,False,False,False,False,0.5,0.1703822478804791,2373.1651376146788,23606.61467889908,754.0733944954128,3274.1009174311926,3437.266055045872,84.93351853097258,8.338867575649408,0.11926605504587157,22,2000,2021,1
29,46189,107,89,18,15,A10,C,9,6,5,30,3,2,0,True,A10,PA,Major,True,False,False,False,True,False,False,False,False,True,False,False,True,False,True,1.3,0.20400189851207973,2042.9158878504672,17532.48598130841,862.0747663551402,2531.8130841121497,1323.0280373831777,69.6348316848555,7.942038083439159,0.16822429906542055,22,2000,2021,1
30,7606,107,89,18,0,A3217,U,19,4,3,30,3,4,0,False,A3217,PA,Major,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.93,0.1873784756826087,2364.8598130841124,21309.635514018693,450.68224299065423,2448.542056074766,1122.3084112149534,75.8125383106536,7.469500445079452,0.16822429906542055,22,2000,2021,1
31,6802,105,91,14,0,A235,U,8,5,10,30,3,4,0,True,A235,PA,Major,True,False,False,False,True,False,True,True,False,False,False,False,False,False,True,2.17,0.6048698588522353,217.95238095238096,21261.733333333334,501.73333333333335,2376.3809523809523,818.8952380952381,23.04646482353374,24.637612493238056,0.13333333333333333,22,2000,2021,1
32,6774,104,95,9,0,A217,U,8,4,7,30,3,4,0,True,A217,PA,Major,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,2.61,0.44226442928569776,837.6634615384615,24127.240384615383,542.5096153846154,3145.278846153846,996.5480769230769,31.219668686539507,8.683896502545144,0.08653846153846154,22,2000,2021,1
33,17639,102,93,9,6,A4202,A4202,18,5,5,30,3,4,0,True,A4202,PA,Major,True,False,False,True,True,True,False,False,False,False,False,False,False,False,True,0.87,0.21813496809217217,840.0392156862745,92955.74509803922,2593.607843137255,11954.460784313726,5310.529411764706,62.08001922457993,17.21901098094588,0.08823529411764706,22,2000,2021,1
34,73444,99,84,15,0,A4020,U,8,3,7,30,3,4,0,True,A4020,PA,Major,True,False,False,False,True,True,True,False,False,False,False,False,False,False,True,1.12,0.3178256433132436,2530.010101010101,17056.58585858586,452.4949494949495,2551.050505050505,1109.2929292929293,41.354542583659466,3.8085256727416463,0.15151515151515152,22,2000,2021,1
35,36795,99,89,10,0,A202,U,9,3,5,30,3,4,0,True,A202,PA,Major,True,False,False,False,True,True,True,True,False,True,False,False,False,False,True,0.19,0.12660195026948529,1628.3636363636363,28178.040404040403,1001.1212121212121,3677.6969696969695,2005.141414141414,103.8177853705976,14.85512415726003,0.10101010101010101,22,2000,2021,1
36,17585,97,86,11,0,A4020,U,19,3,10,30,3,4,0,True,A4020,PA,Major,True,False,False,False,True,False,True,True,False,True,False,False,True,False,False,0.75,0.30224191778329923,1212.2371134020618,17416.154639175256,511.4639175257732,2139.3917525773195,863.8865979381443,42.60827966418594,8.18959348133949,0.1134020618556701,22,2000,2021,1
37,18471,97,86,11,4,A200,U,9,3,5,30,3,4,0,True,A200,PA,Major,True,False,False,False,True,False,False,False,False,True,False,False,True,False,True,0.93,0.1810485070126554,2308.134020618557,25506.0412371134,1037.7319587628865,4030.2886597938145,708.8247422680413,71.13015385567653,7.180400141552935,0.1134020618556701,22,2000,2021,1
38,6751,97,77,20,8,A201,C,9,5,1,30,3,2,5,True,A201,PA,Major,True,True,False,False,False,True,True,True,True,True,False,False,False,False,False,0.19,0.05475027092096885,7442.1752577319585,41834.30927835051,1479.4123711340205,6421.278350515464,1263.4432989690722,235.21359698365526,7.364079210611565,0.20618556701030927,22,2000,2021,1
39,26182,97,90,7,14,A10,U,19,5,10,30,3,4,0,True,A10,PA,Major,True,False,False,True,True,True,False,False,True,True,False,False,False,False,False,0.25,0.09419225021126329,3106.721649484536,14300.484536082475,520.0412371134021,2912.938144329897,1498.2164948453608,136.72046405374851,10.253853327931356,0.07216494845360824,22,2000,2021,1
40,6266,96,86,10,0,A23,U,18,3,10,30,3,4,0,True,A23,PA,Major,True,False,False,False,True,False,False,False,False,True,False,False,True,False,True,1.06,0.23841724764018854,2035.3333333333333,18420.125,639.0833333333334,2594.46875,1783.6979166666667,53.45773141242079,6.119710818421575,0.10416666666666667,22,2000,2021,1
